id,content,score,content_length,cleaned_content,keywords_str
231,"屏幕效果：简直不要太好看，个人觉得是实际市场上颜值相当高的玻璃屏。
拍照：高清的飞起。
终于收到我需要的宝贝了，东西很好，价美物廉，谢谢掌柜的！说实在，这是我购物来让我最满意的一次购物。无论是掌柜的态度还是对物品，我都非常满意的。掌柜态度很专业热情，有问必答，回复也很快，我问了不少问题，他都不觉得烦，都会认真回答我，这点我向掌柜表示由衷的敬意，这样的好掌柜可不多。再说宝贝，正是我需要的，收到的时候包装完整，打开后让我惊喜的是，宝贝比我想象中的还要好！不得不得竖起大拇指。下次需要的时候我还会再来的，到时候麻烦掌柜给个优惠哦！",5,264,屏幕效果简直不要太好看个人觉得是实际市场上颜值相当高的玻璃屏 拍照高清的飞起 终于收到我需要的宝贝了东西很好价美物廉谢谢掌柜的说实在这是我购物来让我最满意的一次购物无论是掌柜的态度还是对物品我都非常满意的掌柜态度很专业热情有问必答回复也很快我问了不少问题他都不觉得烦都会认真回答我这点我向掌柜表示由衷的敬意这样的好掌柜可不多再说宝贝正是我需要的收到的时候包装完整打开后让我惊喜的是宝贝比我想象中的还要好不得不得竖起大拇指下次需要的时候我还会再来的到时候麻烦掌柜给个优惠哦,掌柜 宝贝 需要 态度 购物 觉得 满意 表示 市场 大拇指 认真 竖起 正是 回复 热情
232,买给老婆用的，之前用的还是我三年之前送给她的i6，用了三年多了，也该退役了。给了给她一个惊喜，买之前没跟她商量，因我自己用的是mate8体验不错，前天上午果断下单樱粉金，昨天上午送到，经过一天试用总体感觉不错。粉色应该就是定位为女性用，个人觉得如果前面板换成白色之类的浅色颜值会更好一些～,5,144,买给老婆用的之前用的还是我三年之前送给她的用了三年多了也该退役了给了给她一个惊喜买之前没跟她商量因我自己用的是体验不错前天上午果断下单樱粉金昨天上午送到经过一天试用总体感觉不错粉色应该就是定位为女性用个人觉得如果前面板换成白色之类的浅色颜值会更好一些,之前 三年 定位 换成 白色 果断 惊喜 送给 老婆 上午 试用 个人 更好 送到 应该
233,还可以，帮别人买的,5,9,还可以帮别人买的,
234,手机第二天就收到了，物流速度很快。快递包裹比较简单，快递纸箱里面就直接放了包装手机的包装盒，没有其他填充物了，估计是为了环保。拆封后，手机外观OK。起来都是老标配了，充电器，数据线，说明书，耳机。开机进入主界面必须激活，导致要检查或是测试什么都没有办法，那只能激活进入系统，后面也懒得测什么了，除重大质量问题外，都不给换的。上官网查了序列号，都OK，对得上，激活日期也对得上。以前用过苹果4S的，还是熟悉的操作逻辑，并且加入了很多手势的操作。无线充电还没有体验过，过几天再买无线充电的设备。苹果公司的手机质量以及操作体验自然是顶级的，不过由于苹果的反馈机制不一样，偶尔还是会感觉到卡顿，比如点开APP，界面出来了，点输入框要等一下才反应，然后搜狗输入法才会慢慢推上来。然后就是返回的手势操作，刚开始都不知道怎么划，怎么停顿才能完成这手势，后面慢慢摸索并习惯了后，感觉确认很爽。难怪都说，用了苹果手机后，都离不开，回不去了。,5,411,手机第二天就收到了物流速度很快快递包裹比较简单快递纸箱里面就直接放了包装手机的包装盒没有其他填充物了估计是为了环保拆封后手机外观起来都是老标配了充电器数据线说明书耳机开机进入主界面必须激活导致要检查或是测试什么都没有办法那只能激活进入系统后面也懒得测什么了除重大质量问题外都不给换的上官网查了序列号都对得上激活日期也对得上以前用过苹果的还是熟悉的操作逻辑并且加入了很多手势的操作无线充电还没有体验过过几天再买无线充电的设备苹果公司的手机质量以及操作体验自然是顶级的不过由于苹果的反馈机制不一样偶尔还是会感觉到卡顿比如点开界面出来了点输入框要等一下才反应然后搜狗输入法才会慢慢推上来然后就是返回的手势操作刚开始都不知道怎么划怎么停顿才能完成这手势后面慢慢摸索并习惯了后感觉确认很爽难怪都说用了苹果手机后都离不开回不去了,操作 手势 激活 进入 界面 苹果 慢慢 无线充电 后面 手机 没有 体验 质量 快递 数据线
235,Apple iPhone 8 Plus，美在智慧，抗水防尘，系统反应很灵敏，很快，没有什么卡顿的，终于等到你，超喜欢哦，颜色很好看，有点杏色，有点米黄的感觉，玻璃很亮！手感很好送货快：服务很好：上午抢到了：下午4点就到手：很速度：支持京东商城。,5,122,美在智慧抗水防尘系统反应很灵敏很快没有什么卡顿的终于等到你超喜欢哦颜色很好看有点杏色有点米黄的感觉玻璃很亮手感很好送货快服务很好上午抢到了下午点就到手很速度支持京东商城,等到 抢到 商城 上午 灵敏 终于 送货 卡顿 玻璃 下午 颜色 到手 服务 反应 好看
236,很好！便宜！功能多！老人用合适！强烈推荐！电池老大了！,5,27,很好便宜功能多老人用合适强烈推荐电池老大了,合适 便宜 老人 功能 电池
237,1899元购买的，还可以6期免息分期，感觉要赚翻。说下机器，6+128G，19:9全面屏，八核CPU，指纹解锁，面部识别主流机器该有配置这部手机全部都有，性价比很好，这样的配置其他品牌都要2500+了，小辣椒好样的，给了广大人民群众实惠！本人足够用。我是女孩子，款式漂亮，感觉满满的欢喜，满满的支持，客服小姐姐服务好，为小辣椒产品、服务点赞，也推荐给其他朋友。,5,180,元购买的还可以期免息分期感觉要赚翻说下机器全面屏八核指纹解锁面部识别主流机器该有配置这部手机全部都有性价比很好这样的配置其他品牌都要了小辣椒好样的给了广大人民群众实惠本人足够用我是女孩子款式漂亮感觉满满的欢喜满满的支持客服小姐姐服务好为小辣椒产品服务点赞也推荐给其他朋友,小辣椒 机器 配置 服务 小姐姐 分期 主流 感觉 全部 面部 部手机 款式 本人 点赞 识别
238,小米的手机，就是不错。刚拿到手，手感还不错。应该是全新的，先用用看，到底好不好。,5,40,小米的手机就是不错刚拿到手手感还不错应该是全新的先用用看到底好不好,好不好 先用 全新 应该 不错 拿到 小米 手感 手机
239,买这个手机其实挺纠结，首先颜色上，蓝色红色黑色都不错，尤其蓝色，有种让人回到小米2S的感觉，可惜前脸不是黑的，红色又太炫，最后还是选了最稳妥的黑色，到货一看果然还是黑色经典耐看！体验半日，整体感觉不错，尤其拍照，主传感器虽然是imx386的缩水版，但实际拍摄体验还不错，噪点抑制居然比米6要好，应该是采用了全新的算法。再一个就是手感不错，真的很薄！套上保护套以后，摄像头突出感减弱！系统流畅度也挺好，续航一般，如果加上NFC简直无敌，可惜&hellip;人脸解锁很灵敏，如果再提供抬腕唤醒的话体验会更好，AI拍摄目前还没有，希望早点OTA，总的来说，这一款机还是值得购买！这个价位还算性价比挺高了！送货体验不好，未联系直接丢丰巢了，包装也不弄个盒子！体验不太好！,5,331,买这个手机其实挺纠结首先颜色上蓝色红色黑色都不错尤其蓝色有种让人回到小米的感觉可惜前脸不是黑的红色又太炫最后还是选了最稳妥的黑色到货一看果然还是黑色经典耐看体验半日整体感觉不错尤其拍照主传感器虽然是的缩水版但实际拍摄体验还不错噪点抑制居然比米要好应该是采用了全新的算法再一个就是手感不错真的很薄套上保护套以后摄像头突出感减弱系统流畅度也挺好续航一般如果加上简直无敌可惜人脸解锁很灵敏如果再提供抬腕唤醒的话体验会更好拍摄目前还没有希望早点总的来说这一款机还是值得购买这个价位还算性价比挺高了送货体验不好未联系直接丢丰巢了包装也不弄个盒子体验不太好,体验 黑色 红色 可惜 拍摄 尤其 蓝色 不错 经典 唤醒 实际 突出 一看 感觉 保护套
240,上午拍的傍晚就到了，要快就选京东自营！说下手机，屏很大，外观漂亮，感觉有些大了兜里放不下了，不过看电影爽的，不打游戏，主要上网和视频无线和4g目前运行流畅，对比了7X和7S，选X感觉7X更胜一筹！指纹解锁妙解很好，人脸识别还未试，戴眼镜不知是否好用得试了再说，得说下屏幕，白边左小右大，希望质检严格些，刚到手就体验了这些，未知等开发！,5,167,上午拍的傍晚就到了要快就选京东自营说下手机屏很大外观漂亮感觉有些大了兜里放不下了不过看电影爽的不打游戏主要上网和视频无线和目前运行流畅对比了和选感觉更胜一筹指纹解锁妙解很好人脸识别还未试戴眼镜不知是否好用得试了再说得说下屏幕白边左小右大希望质检严格些刚到手就体验了这些未知等开发,无线 不知 电影 感觉 上网 打游戏 上午 主要 人脸识别 对比 自营 视频 很大 好用 到手
241,"刚好想换手机，刚好我宝代言了华为，刚好之前又说过我宝代言华为就一定要买，所以就买下来啦，可喜可贺，可喜可贺！老早就想评价的，但是懒癌发作，刚好今天看到还可以评，于是来讲讲使用感受：
①从没电到充满大概需要两个小时；
②前置摄像头晚上的拍摄效果很赞，没有光的情况下依旧可以拍出很清晰的照片，可惜我不咋地拍照；
③系统速度不能说特别快，好在比较流畅，我属于那种一有新手机就开始糟蹋的人，因而一拿到手机的第一件事就是下各种各样的软件，除了微信因为加的群太多，消息也太多，偶尔顿一会，目前没怎么出现卡住的现象；
④颜值很高，后壳手感很好，只不过每次拿到新手机都有这么一摔，导致左下边边角凹进去了那么一点点，有了那么一点点的划痕，以至于再喜欢摸摸后壳也不愿意把手机壳拿下来了；
⑤最后凑个5，希望明年换手机时我宝还代言华为，这样就不用纠结换什么手机了。",5,371,刚好想换手机刚好我宝代言了华为刚好之前又说过我宝代言华为就一定要买所以就买下来啦可喜可贺可喜可贺老早就想评价的但是懒癌发作刚好今天看到还可以评于是来讲讲使用感受 从没电到充满大概需要两个小时 前置摄像头晚上的拍摄效果很赞没有光的情况下依旧可以拍出很清晰的照片可惜我不咋地拍照 系统速度不能说特别快好在比较流畅我属于那种一有新手机就开始糟蹋的人因而一拿到手机的第一件事就是下各种各样的软件除了微信因为加的群太多消息也太多偶尔顿一会目前没怎么出现卡住的现象 颜值很高后壳手感很好只不过每次拿到新手机都有这么一摔导致左下边边角凹进去了那么一点点有了那么一点点的划痕以至于再喜欢摸摸后壳也不愿意把手机壳拿下来了 最后凑个希望明年换手机时我宝还代言华为这样就不用纠结换什么手机了,刚好 代言 一点点 新手机 手机 华为 拿到 早就 拍出 一会 只不过 依旧 划痕 很赞 属于
242,看到图片很漂亮，价格又便宜，果断入手，拿到真机比图片好看，这个价位算是超值了,5,38,看到图片很漂亮价格又便宜果断入手拿到真机比图片好看这个价位算是超值了,图片 超值 果断 算是 看到 便宜 价位 入手 很漂亮 拿到 价格 好看
243,买来感觉还挺好的，爸爸一个妈妈一个，不错不错，就是俩次的赠品不一样，都挺好的，赠品质量都挺好,5,46,买来感觉还挺好的爸爸一个妈妈一个不错不错就是俩次的赠品不一样都挺好的赠品质量都挺好,赠品 爸爸 买来 妈妈 不错 质量 感觉
244,对于899元的机子来说、超酷刘海屏、运行4G内存64G不卡顿，、外观高大上很炫，、指纹解锁很灵敏，后置双摄效果好、特别是充电很快，送货快、原包装保护套和钢化膜！对这个价位的机子来说性价比很高，值得推荐！帮朋友也入手一台,5,109,对于元的机子来说超酷刘海屏运行内存不卡顿外观高大上很炫指纹解锁很灵敏后置双摄效果好特别是充电很快送货快原包装保护套和钢化膜对这个价位的机子来说性价比很高值得推荐帮朋友也入手一台,机子 来说 保护套 高大 运行内存 双摄 一台 刘海屏 钢化 灵敏 后置 推荐 朋友 送货 卡顿
245,给长辈买的，没有见到实物，下次拍照片再来，应该不错。,5,26,给长辈买的没有见到实物下次拍照片再来应该不错,长辈 实物 下次 应该 没有 不错
246,不错，挺好的，很适合老人用，声音也挺大的，主要还是看好京东自营的品质，希望可以用的久,5,42,不错挺好的很适合老人用声音也挺大的主要还是看好京东自营的品质希望可以用的久,看好 品质 主要 自营 适合 老人 声音 希望 京东 不错
247,手机给图上的一样，用起了也很好，速度也很快感觉很好下次雨需要再来买。,5,34,手机给图上的一样用起了也很好速度也很快感觉很好下次雨需要再来买,下次 需要 很快 感觉 速度 手机
248,手机很好，给女儿买的，爱不释手，颜色女儿很喜欢。物流很快隔天就到了,5,33,手机很好给女儿买的爱不释手颜色女儿很喜欢物流很快隔天就到了,爱不释手 隔天 颜色 物流 很快 喜欢 手机
249,给爸爸买的，以前手机用的时间太长了太卡了，趁着给妈妈买也给他换了这个，拿到手感觉挺好的，没有廉价的感觉，他也感觉挺满意的，手机尺寸大小拿着舒服，系统是稳定版流畅不卡顿，开app基本是秒开，价格对比了几家还是很便宜的，送的吃鸡神器晚上试试,5,118,给爸爸买的以前手机用的时间太长了太卡了趁着给妈妈买也给他换了这个拿到手感觉挺好的没有廉价的感觉他也感觉挺满意的手机尺寸大小拿着舒服系统是稳定版流畅不卡顿开基本是秒开价格对比了几家还是很便宜的送的吃鸡神器晚上试试,感觉 试试 尺寸 爸爸 基本 大小 对比 舒服 吃鸡 妈妈 便宜 晚上 卡顿 时间 拿到
250,"今天收到的宝贝，买以前我对比了多款手机，都在250到3500不等。为什么我要买这款手机呢？  一  外观新颖，有特点  二 像素都很满意
三 性能搭载麒麟970想必不用多说吧。玩大多游戏加软件几乎可以不卡顿 大部分 游戏无压力  四 .也是最重要的   支持国产 支持国货。什么骁龙我觉得麒麟可以做到和它平起平坐，甚至在某些方面比它更优秀。    这款手机我用了一天，在未买以前我接触过。指纹可以一秒内完成。人脸识别   什么的  都有。性价比很高，是一款非常有颜值有性能的手机。不吹不黑。收到的那一刻还是很激动的。希望华为走的更远，做的更好。",5,272,今天收到的宝贝买以前我对比了多款手机都在到不等为什么我要买这款手机呢 一 外观新颖有特点 二 像素都很满意 三 性能搭载麒麟想必不用多说吧玩大多游戏加软件几乎可以不卡顿 大部分 游戏无压力 四 也是最重要的 支持国产 支持国货什么骁龙我觉得麒麟可以做到和它平起平坐甚至在某些方面比它更优秀 这款手机我用了一天在未买以前我接触过指纹可以一秒内完成人脸识别 什么的 都有性价比很高是一款非常有颜值有性能的手机不吹不黑收到的那一刻还是很激动的希望华为走的更远做的更好,麒麟 游戏 性能 支持 手机 激动 优秀 收到 搭载 重要 大部分 我用 几乎 压力 骁龙
251,用了几天才来评价，首先性能是够用的，玩刺激战场高画质高帧率基本全程30帧，没有明显卡顿，但是温度确实高，可能是玻璃导热比金属差的缘故，散热慢，但是实体导航键附近区域则没有摄像头附近这么热。退出游戏后几分钟温度就很快回落到40℃以下。指纹识别灵敏，解锁屏幕感觉不到延迟，人脸识别解锁就比指纹稍微慢一点。充电速度快，而且产生热量小，附送的保护套也有一定的隔热效果。手机会有压手感，电池够用，其他方面就没有什么问题。总体感觉不错,5,211,用了几天才来评价首先性能是够用的玩刺激战场高画质高帧率基本全程帧没有明显卡顿但是温度确实高可能是玻璃导热比金属差的缘故散热慢但是实体导航键附近区域则没有摄像头附近这么热退出游戏后几分钟温度就很快回落到以下指纹识别灵敏解锁屏幕感觉不到延迟人脸识别解锁就比指纹稍微慢一点充电速度快而且产生热量小附送的保护套也有一定的隔热效果手机会有压手感电池够用其他方面就没有什么问题总体感觉不错,够用 解锁 没有 帧率 战场 刺激 感觉 金属 保护套 一定 指纹识别 明显 基本 灵敏 人脸识别
252,手机很好，618买了两台。,5,13,手机很好买了两台,手机
253,还好我买的快，不然又涨价了！第一次用苹果。感觉不错。京东自营店，你值得信赖！4588抢购的，加上活动送的京豆和联通送话费送的e卡。最后4248元到手果8。我觉得挺划算的了。现在涨到5000多了。哈哈，还好抢到了。不然后悔半年了。,5,114,还好我买的快不然又涨价了第一次用苹果感觉不错京东自营店你值得信赖抢购的加上活动送的京豆和联通送话费送的卡最后元到手果我觉得挺划算的了现在涨到多了哈哈还好抢到了不然后悔半年了,还好 抢购 抢到 加上 后悔 活动 划算 自营 最后 信赖 到手 第一次 觉得 苹果 值得
254,用着看吧，刚到，感觉还不错，毕竟是京东自营，是正品行货。,5,28,用着看吧刚到感觉还不错毕竟是京东自营是正品行货,看吧 行货 自营 毕竟 正品 感觉 京东 不错
255,功能型手机，手电筒，还可以当充电宝,5,17,功能型手机手电筒还可以当充电宝,充电 手机
256,"哇，终于到手了。
6.20英寸FHD 19:9 FHD,（2246*1080），给我非常好的视觉体验。
梦境黑果然使我心动，拒绝了金色，高端大气上档次
6+128G大内存估计够我用个两三年了。
试了采用新一代AI红外人像解锁，白天、晚上均能精准捕捉，反应很快。指纹解锁也很方便。
我是忠实的辣粉，希望小辣椒越来越好~",5,158,哇终于到手了 英寸 给我非常好的视觉体验 梦境黑果然使我心动拒绝了金色高端大气上档次 大内存估计够我用个两三年了 试了采用新一代红外人像解锁白天晚上均能精准捕捉反应很快指纹解锁也很方便 我是忠实的辣粉希望小辣椒越来越好,解锁 心动 用个 白天 视觉 忠实 红外 采用 上档次 金色 高端 英寸 小辣椒 大气 估计
257,头一眼，没有惊艳的感觉，第二眼，感觉好普通，拿到手里，顿时爱不释手，亮黑色的陶瓷后壳，好亮好靓，摸了两下，全是手指印，真正的指纹收集器，擦干净了决定亮眼，速度感觉还行，比现在用的红米pro快太多，从红米1，红米4，小米5，红米pro，到现在的mix2 ，一直小米，没吃过大米，真是和小米对上了！就是外包装太简单了，一个破纸盒，里面没有任何衬垫，刚拿到手里真是拍坏！,5,182,头一眼没有惊艳的感觉第二眼感觉好普通拿到手里顿时爱不释手亮黑色的陶瓷后壳好亮好靓摸了两下全是手指印真正的指纹收集器擦干净了决定亮眼速度感觉还行比现在用的红米快太多从红米红米小米红米到现在的 一直小米没吃过大米真是和小米对上了就是外包装太简单了一个破纸盒里面没有任何衬垫刚拿到手里真是拍坏,红米 真是 手里 感觉 拿到 手指 爱不释手 全是 陶瓷 干净 真正 普通 后壳 决定 没有
258,，性能非常好，跟我的X21UD处理器一模一样，吃鸡王者都不会卡，外观超好看，小爱同学也很好，给老爸买的4+64版，非常适合他用，像素也很不错，虽然不能跟我的VIVO比，但价位上~性价比超高,5,94,性能非常好跟我的处理器一模一样吃鸡王者都不会卡外观超好看小爱同学也很好给老爸买的版非常适合他用像素也很不错虽然不能跟我的比但价位上性价比超高,小爱 超高 王者 同学 老爸 吃鸡 处理器 不会 不能 价位 性能 像素 好看 性价比 外观
259,屏幕大了许多，感觉还不赖，其他功能待试中,5,20,屏幕大了许多感觉还不赖其他功能待试中,功能 屏幕 感觉
260,"高颜值实力派的nova3手机终于到手啦！
颜色选的樱草金，花语&ldquo;除你之外，别无他爱&rdquo;，很浪漫，而且是千玺同款，开心。就是冲着千玺买的！
屏幕6.3，看视频挺舒服。带刘海，对我来说比较新鲜，不排斥。
画质像素都很不错，还有AI短视频，emoji表情，图像搜索等，好用又好看。人脸识别很精准，体验不错。
当然，这款手机最棒最棒的就是&mdash;&mdash;她的全球代言人，高颜值实力派的易烊千玺，不能再爱！为华为霸霸和千玺打call(^_^)v",5,234,高颜值实力派的手机终于到手啦 颜色选的樱草金花语除你之外别无他爱很浪漫而且是千玺同款开心就是冲着千玺买的 屏幕看视频挺舒服带刘海对我来说比较新鲜不排斥 画质像素都很不错还有短视频表情图像搜索等好用又好看人脸识别很精准体验不错 当然这款手机最棒最棒的就是她的全球代言人高颜值实力派的易烊千玺不能再爱为华为霸霸和千玺打,视频 颜值 之外 冲着 画质 当然 开心 刘海 人脸识别 终于 不能 颜色 到手 华为 不错
261,kupai的技术和研发能力还是很厉害的。要是营销做好就好啦。,5,30,的技术和研发能力还是很厉害的要是营销做好就好啦,技术 厉害 能力
262,手机很不错，妈妈很喜欢，很漂亮，像素等等也是很不错的，手机本身内存也大，运行也不卡。,5,42,手机很不错妈妈很喜欢很漂亮像素等等也是很不错的手机本身内存也大运行也不卡,本身 不卡 妈妈 不错 像素 内存 很漂亮 运行 手机 喜欢
263,颜色很漂亮，手感很好，刚到手，希望很好用,5,20,颜色很漂亮手感很好刚到手希望很好用,颜色 到手 很漂亮 希望 手感
264,声音很大，适合老年人用,5,11,声音很大适合老年人用,老年人 适合 很大 声音
265,手机收到了，简单试用了下，感觉还可以，系统简洁明了，以后慢慢开发下功能，屏幕不错，就是买屏幕送手机了，对比下以前的手机屏幕一样大只不过上面的摄像头明显有缺的，一般应用没有影响，不过视频和图片能有影响，拍照试了下还可以满足日常应用，我要求不高，微信，地图，网页，拍照就可以了，不玩游戏，偶尔办公可以了。价格实惠，买屏幕送手机还有蓝牙音响还想什么自行车啊！,5,176,手机收到了简单试用了下感觉还可以系统简洁明了以后慢慢开发下功能屏幕不错就是买屏幕送手机了对比下以前的手机屏幕一样大只不过上面的摄像头明显有缺的一般应用没有影响不过视频和图片能有影响拍照试了下还可以满足日常应用我要求不高微信地图网页拍照就可以了不玩游戏偶尔办公可以了价格实惠买屏幕送手机还有蓝牙音响还想什么自行车啊,屏幕 影响 应用 手机 拍照 网页 只不过 偶尔 蓝牙 上面 满足 音响 慢慢 日常 要求
266,便宜，老人用，勉强可以，第一次用，希望质量杠杠的。支持一下。,5,30,便宜老人用勉强可以第一次用希望质量杠杠的支持一下,杠杠 便宜 第一次 老人 一下 质量 希望 支持
267,东西很不错，很超值！！第一天下单，第二天就到了，京东给力！,5,29,东西很不错很超值第一天下单第二天就到了京东给力,第一天 超值 给力 第二天 下单 东西 京东 不错
268,手机质量很好，没有色差。和描述一致，符合期待。性能强大，性价比高，物美价廉。发货快，物流好，没毛病。,5,50,手机质量很好没有色差和描述一致符合期待性能强大性价比高物美价廉发货快物流好没毛病,符合 描述 物美价廉 毛病 强大 期待 性能 发货 质量 物流 性价比 没有 手机
269,首先预付99元定金，27号凌晨付余款不用抢直接就可下单了，比mate10好*多了，这点值得称赞。后壳渐变色很潮，极光色仿佛把我们带到了南极，很震撼。赠送的电信卡也比较实惠。手机屏幕四角有弧度，看着更圆润。麒麟970处理器还是同样的强大，拍照很专业。,5,124,首先预付元定金号凌晨付余款不用抢直接就可下单了比好多了这点值得称赞后壳渐变色很潮极光色仿佛把我们带到了南极很震撼赠送的电信卡也比较实惠手机屏幕四角有弧度看着更圆润麒麟处理器还是同样的强大拍照很专业,同样 专业 后壳 赠送 极光 这点 麒麟 强大 好多 直接 不用 看着 处理器 实惠 下单
270,手机很漂亮，用得也还不错,5,12,手机很漂亮用得也还不错,很漂亮 不错 手机
271,暂时用着还可以  用了以后在追评吧,5,17,暂时用着还可以 用了以后在追评吧,暂时 追评 以后
272,第一次用苹果手机，运行速度很快，主要看上了它的双面玻璃，不过传说很脆啊，还要做好防护措施！还在摸索中！京东的服务确实很赞！,5,61,第一次用苹果手机运行速度很快主要看上了它的双面玻璃不过传说很脆啊还要做好防护措施还在摸索中京东的服务确实很赞,很赞 还要 主要 玻璃 确实 服务 第一次 苹果 运行 很快 速度 京东 手机
273,东哥就是速度快，价*。手机全新，包装完好，机器完好没有磨损，不是二手。配件齐全。手机速度快，但是上下左右的边太宽，全屏时代有点儿落伍了，不美观，最不保值的一袋苹果 。相信这是非全面屏时代最后的一款苹果 。,5,102,东哥就是速度快价手机全新包装完好机器完好没有磨损不是二手配件齐全手机速度快但是上下左右的边太宽全屏时代有点儿落伍了不美观最不保值的一袋苹果 相信这是非全面屏时代最后的一款苹果,时代 完好 苹果 齐全 速度 全屏 配件 全新 相信 一款 机器 最后 全面屏 包装 不是
274,什么破玩意儿，拿来忽悠人的吗，买来用了一天现在充不进电,5,27,什么破玩意儿拿来忽悠人的吗买来用了一天现在充不进电,拿来 买来 一天
275,先说说电池，5V/2A快充充电很快。电池用到10%电的时候不到1.5小时就满了。但是电池很耐用。一天充1次，晚上睡觉的时候插上就好了。3000毫安大容量电池。手机装了很多软件也没出现卡顿的现象。有实例为证：我和同事玩王者荣耀，他想用我这个英雄就换手机玩了一把。手机哪叫个爽，差点手机都没还给我，他直言我的手机太好了，爽死了。当初买就是看上颜值高了，没想到硬件性能也不落后。微信还能多开，很实用，1300W+500W像素高，拍照模式多，可记录许多美好镜头。总结：性能强劲、价格实惠、续航能力强、服务好。确实是一款不可多得的手机，点赞。,5,266,先说说电池快充充电很快电池用到电的时候不到小时就满了但是电池很耐用一天充次晚上睡觉的时候插上就好了毫安大容量电池手机装了很多软件也没出现卡顿的现象有实例为证我和同事玩王者荣耀他想用我这个英雄就换手机玩了一把手机哪叫个爽差点手机都没还给我他直言我的手机太好了爽死了当初买就是看上颜值高了没想到硬件性能也不落后微信还能多开很实用像素高拍照模式多可记录许多美好镜头总结性能强劲价格实惠续航能力强服务好确实是一款不可多得的手机点赞,电池 手机 性能 强劲 镜头 睡觉 大容量 先说 多开 一把 用到 总结 硬件 王者荣耀 同事
276,小米MIX2全面屏给人的视觉体验很赞，一眼就看得出和烂大街的妖艳贱货不一样。性能上来说也是旗舰级别，拍照效果比上一代提升很大，能够满足社交拍照需求。&nbsp;美中不足的是小米MIX2边框似乎没有前一代窄，金属边框和陶瓷后盖的拼接也显得有些粗糙，感觉不够精致。&nbsp;最后就是为什么用魅族的箱子，以为是我买错了?,5,158,小米全面屏给人的视觉体验很赞一眼就看得出和烂大街的妖艳贱货不一样性能上来说也是旗舰级别拍照效果比上一代提升很大能够满足社交拍照需求美中不足的是小米边框似乎没有前一代窄金属边框和陶瓷后盖的拼接也显得有些粗糙感觉不够精致最后就是为什么用魅族的箱子以为是我买错了,一代 边框 级别 拍照 能够 需求 显得 陶瓷 视觉 很赞 旗舰 美中不足 金属 魅族 满足
277,买的手机不到一周，音量键失灵，没反应，联系#商客服一段时间没处理，供货商客服让联系京东客服，联系后我，要求换货，客服说超过换货期，但是我买了一个星期就反馈了音量键没反应的问题，拖来拖去，到现在都没处理，请问小米，就是这样对待用户的吗？,5,117,买的手机不到一周音量键失灵没反应联系商客服一段时间没处理供货商客服让联系京东客服联系后我要求换货客服说超过换货期但是我买了一个星期就反馈了音量键没反应的问题拖来拖去到现在都没处理请问小米就是这样对待用户的吗,联系 客服 换货 处理 音量 反应 反馈 超过 一周 星期 要求 不到 一段时间 用户 问题
278,京东一向的神速快递，就是外包装有点那什么～～估计也是为了节省材料保护环境吧。手机到手时感觉挺大的，电池还是比较耐用的打一上午穿越手游还有充足的电日常使用呢。信号也很好，毕竟有强大的信号技术基础在这呢，玩个大型游戏没有什么异常情况，而且显示也比较多彩细致，希望华为官方赶紧把EMUI8.0升级出来，这样就完美了?毕竟8.0比较流畅啊。。。。。。还有刚更新出来的人像识别和AR拍摄玩法呢。,5,192,京东一向的神速快递就是外包装有点那什么估计也是为了节省材料保护环境吧手机到手时感觉挺大的电池还是比较耐用的打一上午穿越手游还有充足的电日常使用呢信号也很好毕竟有强大的信号技术基础在这呢玩个大型游戏没有什么异常情况而且显示也比较多彩细致希望华为官方赶紧把升级出来这样就完美了毕竟比较流畅啊还有刚更新出来的人像识别和拍摄玩法呢,比较 信号 出来 毕竟 大型 赶紧 挺大 神速 官方 升级 技术 日常 拍摄 识别 估计
279,"为了表达我开心的心情以及求得自拍杆，特为此部手机作了一首诗:
樱草无声夏夜凉，星光漫布金纱帐。
若问此物价几何？微起涟漪在心头。
收到手机很开心，反应很快，指纹解锁也很快！颜色也是我喜欢的黄色，手机充电也算满意啦，虽不是太快，也是够了。之前选择犹豫了好久，都已经付款买了oppor15.，当看到这款手机出来的时候果断把15给退了，又专门去看了nova3的发布会重播，越看越觉得自己买的可以！十九号下午买的，因为断货的原因，以至于到今天22号下午才收到，比客服给我说的一个星期短了好多，开心！至于不足之处就是手机发热的问题，比其他的要厉害一点，刚拿到卸载下载了一些软件，手机就有点烫了，大概39度吧。运行的确很快。我不玩游戏这个配置足够啦！支持国产，支持华为！我是一棵花粉星人。。。",5,340,为了表达我开心的心情以及求得自拍杆特为此部手机作了一首诗 樱草无声夏夜凉星光漫布金纱帐 若问此物价几何微起涟漪在心头 收到手机很开心反应很快指纹解锁也很快颜色也是我喜欢的黄色手机充电也算满意啦虽不是太快也是够了之前选择犹豫了好久都已经付款买了当看到这款手机出来的时候果断把给退了又专门去看了的发布会重播越看越觉得自己买的可以十九号下午买的因为断货的原因以至于到今天号下午才收到比客服给我说的一个星期短了好多开心至于不足之处就是手机发热的问题比其他的要厉害一点刚拿到卸载下载了一些软件手机就有点烫了大概度吧运行的确很快我不玩游戏这个配置足够啦支持国产支持华为我是一棵花粉星人,开心 很快 下午 手机 支持 发布会 专门 收到 付款 的确 太快 卸载 部手机 大概 犹豫
280,手机挺好看的，外观手感都不错。,5,15,手机挺好看的外观手感都不错,好看 手感 外观 不错 手机
